start,gesture,end,sound,label
137865458,Whats Up,137876423,137865458.mp4,y
137997265,Nod,138007612,137997265.mp4,y
138127294,Swipe Right,138137666,138127294.mp4,y
138267549,Nod,138277854,138267549.mp4,y
138397576,Whats Up,138408197,138397576.mp4,y
138543655,Whats Up,138554332,138543655.mp4,y
138665707,Swipe Right,138676218,138665707.mp4,y
138807899,Swipe Left,138818856,138807899.mp4,y
138946345,Whats Up,138957392,138946345.mp4,y
139086075,Swipe Left,139097022,139086075.mp4,y
139220358,Swipe Right,139230746,139220358.mp4,y
139355486,Swipe Right,139366416,139355486.mp4,y
139497898,Swipe Right,139508795,139497898.mp4,y
139637540,Swipe Left,139648323,139637540.mp4,y
139766495,Nod,139776868,139766495.mp4,y
139886891,Swipe Right,139897783,139886891.mp4,y
140021714,Nod,140032629,140021714.mp4,y
140158928,Whats Up,140169551,140158928.mp4,y
140295213,Swipe Left,140305922,140295213.mp4,y
140415446,Swipe Right,140425989,140415446.mp4,y
140540897,Whats Up,140551719,140540897.mp4,y
140665488,Nod,140675867,140665488.mp4,y
140790063,Nod,140800495,140790063.mp4,y
140938099,Whats Up,140948570,140938099.mp4,y
141069856,Swipe Right,141080389,141069856.mp4,y
141214463,Swipe Right,141225417,141214463.mp4,y
141351863,Nod,141362196,141351863.mp4,y
141488021,Swipe Left,141498464,141488021.mp4,y
141637606,Nod,141648585,141637606.mp4,y
141766712,Nod,141777462,141766712.mp4,y
141895972,Swipe Right,141906914,141895972.mp4,y
142043950,Swipe Left,142054336,142043950.mp4,y
142175160,Swipe Right,142185507,142175160.mp4,y
142302187,Nod,142313104,142302187.mp4,y
142438121,Nod,142448381,142438121.mp4,y
142568355,Nod,142579286,142568355.mp4,y
142709533,Swipe Left,142720053,142709533.mp4,y
142831999,Whats Up,142842998,142831999.mp4,y
142979633,Swipe Left,142990265,142979633.mp4,y
143109065,Swipe Left,143119672,143109065.mp4,y
143248493,Whats Up,143259480,143248493.mp4,y
143385798,Swipe Left,143396167,143385798.mp4,y
143603883,Swipe Right,143614916,143603883.mp4,y
143746085,Swipe Left,143756415,143746085.mp4,y
143867899,Whats Up,143878267,143867899.mp4,y
144046087,Whats Up,144056548,144046087.mp4,y
144177692,Swipe Left,144188728,144177692.mp4,y
