start,gesture,end,sound,label
343955013,Swipe Left,343965332,343955013.mp4,y
344098455,Nod,344108861,344098455.mp4,not sure
344238918,Swipe Right,344249973,344238918.mp4,y
344373142,Whats Up,344383585,344373142.mp4,y
344505711,Nod,344516761,344505711.mp4,y
344647071,Swipe Left,344657428,344647071.mp4,y
344792569,Nod,344803605,344792569.mp4,not sure
344930167,Nod,344940601,344930167.mp4,y
345074524,Nod,345085516,345074524.mp4,y
345227656,Nod,345238553,345227656.mp4,y
345374955,Swipe Left,345385375,345374955.mp4,y
345498749,Nod,345509172,345498749.mp4,y
345649075,Swipe Right,345659424,345649075.mp4,not sure
345797560,Swipe Left,345808740,345797560.mp4,y
345925614,Swipe Left,345936731,345925614.mp4,y
346066330,Whats Up,346076865,346066330.mp4,not sure
346207442,Swipe Right,346218472,346207442.mp4,y
346356932,Whats Up,346367371,346356932.mp4,not sure
346499139,Swipe Right,346510151,346499139.mp4,not sure
346644098,Swipe Left,346655181,346644098.mp4,y
346790101,Whats Up,346800703,346790101.mp4,y
346937628,Swipe Left,346948432,346937628.mp4,y
347066323,Swipe Left,347076819,347066323.mp4,y
347194263,Swipe Left,347205090,347194263.mp4,y
347344729,Swipe Right,347355866,347344729.mp4,n
347471099,Whats Up,347481409,347471099.mp4,not sure
347592259,Whats Up,347602710,347592259.mp4,n
347744010,Nod,347754778,347744010.mp4,y
347912725,Whats Up,347923133,347912725.mp4,y
348065118,Swipe Right,348075661,348065118.mp4,y
348187999,Swipe Right,348198428,348187999.mp4,y
348344569,Swipe Right,348355562,348344569.mp4,y
348480806,Swipe Right,348491811,348480806.mp4,y
348643677,Whats Up,348654106,348643677.mp4,y
348787113,Nod,348798177,348787113.mp4,y
348944274,Whats Up,348954669,348944274.mp4,y
349089961,Swipe Left,349101523,349089961.mp4,y
349272378,Whats Up,349282780,349272378.mp4,y
349403645,Swipe Right,349414032,349403645.mp4,y
349544797,Nod,349555229,349544797.mp4,y
349714880,Swipe Left,349725452,349714880.mp4,y
349865216,Nod,349875584,349865216.mp4,y
349995711,Whats Up,350006770,349995711.mp4,y
350144130,Swipe Left,350155243,350144130.mp4,y
350293103,Nod,350303475,350293103.mp4,y
350444126,Whats Up,350455172,350444126.mp4,y
350586269,Swipe Right,350597329,350586269.mp4,y
