75593457,Swipe Right,75604415,75593457.mp4,y,1,12,1035,226,356,107,172
75721438,Swipe Left,75732488,75721438.mp4,y,1,10332,11353,10550,10640,109,154
75863644,Swipe Left,75874293,75863644.mp4,y,1,22958,23977,23212,23330,127,186
76010319,Swipe Right,76020878,76010319.mp4,y,1,35529,36549,35782,35890,127,181
76145139,Whats Up,76156016,76145139.mp4,y,1,46830,47849,47034,47156,102,163
76273677,Swipe Right,76284731,76273677.mp4,y,1,57966,58991,58180,58292,107,163
76415269,Swipe Right,76426198,76415269.mp4,y,1,70598,71617,70812,70914,107,158
76544084,Nod,76554426,76544084.mp4,y,1,81256,82275,81476,81616,110,180
76666973,Swipe Right,76677254,76666973.mp4,y,1,92241,93259,92452,92552,106,156
76790836,Whats Up,76801443,76790836.mp4,y,0,102591,103611,102814,102924,112,167
76934994,Swipe Right,76946566,76934994.mp4,y,1,115194,116323,115452,115578,129,192
77075120,Swipe Right,77086088,77075120.mp4,y,1,127272,128289,127500,127602,114,165
77207661,Nod,77218685,77207661.mp4,y,1,138961,139985,139198,139336,119,188
77351968,Swipe Left,77362989,77351968.mp4,y,1,151713,152735,151926,152060,107,174
77491895,Swipe Left,77502182,77491895.mp4,y,1,163673,164695,163906,164030,117,179
77630656,Swipe Left,77641234,77630656.mp4,n,0,175194,176213,,,,
77764234,Nod,77774849,77764234.mp4,y,0,187193,188213,187374,187494,91,151
77910361,Whats Up,77920985,77910361.mp4,y,1,200136,201155,200360,200454,112,159
78043127,Swipe Left,78054128,78043127.mp4,y,1,211465,212483,211728,211842,132,189
78169690,Nod,78180656,78169690.mp4,y,1,222723,223743,222914,223076,96,177
78306256,Swipe Left,78317154,78306256.mp4,y,0,234637,235657,234862,234982,113,173
78428496,Nod,78439479,78428496.mp4,y,0,245040,246061,245240,245384,100,172
78576255,Whats Up,78587203,78576255.mp4,y,0,257842,258863,258040,258176,99,167
78697025,Swipe Left,78708045,78697025.mp4,y,0,268646,269669,268992,269096,173,225
78840699,Whats Up,78851676,78840699.mp4,y,1,280816,281837,281060,281180,122,182
78973047,Nod,78983412,78973047.mp4,y,1,292519,293537,292768,292874,125,178
79119778,Whats Up,79130335,79119778.mp4,y,1,304779,305801,304970,305110,96,166
79249775,Whats Up,79260107,79249775.mp4,y,1,316226,317245,316476,316572,125,173
79377112,Swipe Left,79388087,79377112.mp4,y,1,327560,328579,327804,327914,122,177
79522696,Nod,79533582,79522696.mp4,y,1,340378,341399,340610,340716,116,169
79670706,Nod,79681169,79670706.mp4,y,1,353267,354287,353542,353666,138,200
79809424,Whats Up,79819772,79809424.mp4,y,1,365249,366271,365460,365582,106,167
79946774,Whats Up,79957359,79946774.mp4,y,1,377533,378551,377786,377866,127,167
80083588,Swipe Right,80093864,80083588.mp4,y,1,388721,389743,388984,389076,132,178
80204418,Swipe Left,80215325,80204418.mp4,y,1,399438,400461,399716,399832,139,197
80326138,Nod,80336875,80326138.mp4,y,1,410113,411135,410336,410490,112,189
80452164,Swipe Left,80463156,80452164.mp4,y,1,421269,422291,421492,421624,112,178
80581928,Whats Up,80592928,80581928.mp4,y,0,432771,433791,432994,433132,112,181
80708268,Swipe Right,80718624,80708268.mp4,y,1,443292,444311,443536,443642,122,175
80834841,Swipe Right,80845168,80834841.mp4,y,1,454302,455321,454536,454646,117,172
80977223,Nod,80987819,80977223.mp4,y,1,466356,467373,466540,466698,92,171
81121068,Whats Up,81131666,81121068.mp4,y,0,478411,479433,478616,478740,103,165
81265680,Nod,81277341,81265680.mp4,y,1,490988,492029,491224,491346,118,179
81394704,Swipe Right,81405742,81394704.mp4,y,1,502548,503573,502762,502890,107,171
81542777,Swipe Left,81553275,81542777.mp4,y,1,515538,516559,515752,515882,107,172
81673045,Swipe Right,81684036,81673045.mp4,y,1,526268,527289,526526,526612,129,172
81815880,Whats Up,81826205,81815880.mp4,y,0,538202,539221,538472,538580,135,189
