start,gesture,end,sound,label
60066,Nod,70528,60066.mp4,y
208094,Swipe Right,219041,208094.mp4,y
353982,Swipe Right,364260,353982.mp4,y
483565,Whats Up,494434,483565.mp4,y
610863,Swipe Right,621863,610863.mp4,y
731628,Swipe Right,742275,731628.mp4,y
869172,Whats Up,879491,869172.mp4,y
1001402,Nod,1012179,1001402.mp4,y
1131284,Swipe Left,1142104,1131284.mp4,y
1255337,Swipe Right,1266279,1255337.mp4,y
1380848,Swipe Right,1391648,1380848.mp4,y
1508627,Nod,1519471,1508627.mp4,y
1650409,Nod,1660942,1650409.mp4,y
1775022,Swipe Left,1786025,1775022.mp4,y
1898931,Whats Up,1909218,1898931.mp4,not sure
2041922,Whats Up,2052507,2041922.mp4,y
2191257,Swipe Left,2202177,2191257.mp4,not sure
2326536,Whats Up,2336957,2326536.mp4,not sure
2447527,Whats Up,2457915,2447527.mp4,not sure
2570078,Swipe Left,2580475,2570078.mp4,y
2696158,Nod,2706826,2696158.mp4,n
2837925,Whats Up,2848486,2837925.mp4,y
2976641,Whats Up,2987025,2976641.mp4,y
3117136,Swipe Left,3128027,3117136.mp4,y
3262853,Nod,3273777,3262853.mp4,y
3399919,Swipe Left,3410869,3399919.mp4,y
3545767,Nod,3556127,3545767.mp4,y
3684630,Whats Up,3695235,3684630.mp4,y
3833904,Whats Up,3844270,3833904.mp4,y
3973064,Swipe Left,3984010,3973064.mp4,y
4121377,Swipe Right,4132387,4121377.mp4,y
4242138,Nod,4253113,4242138.mp4,y
4367984,Nod,4378954,4367984.mp4,y
4514186,Whats Up,4524623,4514186.mp4,y
4638760,Swipe Left,4649103,4638760.mp4,y
4764656,Swipe Right,4775027,4764656.mp4,y
4885254,Swipe Left,4896265,4885254.mp4,y
5021566,Swipe Right,5032217,5021566.mp4,y
5162216,Whats Up,5172574,5162216.mp4,not sure
5308285,Swipe Left,5319020,5308285.mp4,n
5433302,Swipe Right,5444254,5433302.mp4,y
5568312,Nod,5579067,5568312.mp4,not sure
5704799,Swipe Right,5715431,5704799.mp4,y
5827214,Swipe Left,5837673,5827214.mp4,n
5958565,Swipe Right,5969571,5958565.mp4,y
6098368,Swipe Left,6109382,6098368.mp4,not sure
6220348,Nod,6230888,6220348.mp4,y
