start,gesture,end,sound,label
231595432,Swipe Right,231605838,231595432.mp4,y
231734171,Whats Up,231745262,231734171.mp4,y
231862887,Swipe Left,231873860,231862887.mp4,y
231990436,Nod,232001439,231990436.mp4,y
232110709,Swipe Left,232121659,232110709.mp4,y
232251007,Whats Up,232261967,232251007.mp4,y
232374226,Swipe Left,232385103,232374226.mp4,y
232520828,Whats Up,232531576,232520828.mp4,y
232650897,Swipe Right,232661198,232650897.mp4,y
232786698,Nod,232797022,232786698.mp4,y
232929431,Swipe Left,232940379,232929431.mp4,y
233060695,Swipe Left,233071685,233060695.mp4,y
233197839,Swipe Right,233208259,233197839.mp4,y
233321760,Whats Up,233332672,233321760.mp4,y
233456256,Nod,233466821,233456256.mp4,y
233596545,Swipe Right,233607444,233596545.mp4,y
233745707,Swipe Right,233756607,233745707.mp4,y
233882096,Nod,233892484,233882096.mp4,y
234010400,Nod,234021322,234010400.mp4,y
234145720,Swipe Left,234156138,234145720.mp4,y
234286962,Nod,234297925,234286962.mp4,y
234433730,Whats Up,234444766,234433730.mp4,y
234579345,Swipe Left,234589990,234579345.mp4,y
234701541,Whats Up,234712525,234701541.mp4,y
234831595,Whats Up,234842572,234831595.mp4,y
234979305,Swipe Left,234990244,234979305.mp4,y
235121408,Nod,235132354,235121408.mp4,y
235264150,Nod,235274525,235264150.mp4,y
235397327,Swipe Right,235408319,235397327.mp4,y
235544156,Swipe Right,235555130,235544156.mp4,y
235685091,Swipe Left,235695435,235685091.mp4,y
235824512,Swipe Right,235834779,235824512.mp4,y
235946341,Swipe Left,235956756,235946341.mp4,y
236095783,Swipe Right,236106107,236095783.mp4,y
236222360,Whats Up,236232651,236222360.mp4,y
236347948,Swipe Right,236358883,236347948.mp4,y
236478578,Nod,236489529,236478578.mp4,y
236606189,Swipe Left,236617185,236606189.mp4,y
236729513,Nod,236740413,236729513.mp4,y
236865183,Swipe Right,236875544,236865183.mp4,y
237003583,Swipe Left,237014059,237003583.mp4,y
237124172,Nod,237134520,237124172.mp4,y
237269126,Whats Up,237279458,237269126.mp4,y
237390656,Whats Up,237401046,237390656.mp4,y
237535437,Whats Up,237546408,237535437.mp4,y
237672109,Swipe Right,237683006,237672109.mp4,y
237797701,Whats Up,237808658,237797701.mp4,y
