start,gesture,end,sound,label
448370,Nod,458998,448370.mp4,not sure
569717,Swipe Left,580069,569717.mp4,y
700072,Nod,711071,700072.mp4,y
841049,Whats Up,851336,841049.mp4,y
974318,Swipe Right,985320,974318.mp4,y
1123467,Nod,1133810,1123467.mp4,y
1265667,Swipe Right,1276395,1265667.mp4,y
1399265,Whats Up,1409622,1399265.mp4,y
1552117,Swipe Right,1562495,1552117.mp4,y
1678827,Swipe Right,1689823,1678827.mp4,y
1799492,Nod,1810464,1799492.mp4,y
1939931,Swipe Left,1950877,1939931.mp4,y
2064769,Whats Up,2075182,2064769.mp4,y
2193049,Swipe Left,2203588,2193049.mp4,y
2336267,Swipe Right,2347191,2336267.mp4,y
2473282,Whats Up,2483682,2473282.mp4,y
2619408,Swipe Left,2629737,2619408.mp4,y
2765994,Nod,2776742,2765994.mp4,n
2890368,Whats Up,2900886,2890368.mp4,y
3022073,Whats Up,3033014,3022073.mp4,y
3166376,Swipe Left,3177275,3166376.mp4,y
3302500,Swipe Left,3313473,3302500.mp4,y
3443080,Whats Up,3453914,3443080.mp4,y
3566295,Swipe Left,3576568,3566295.mp4,y
3714313,Whats Up,3725144,3714313.mp4,y
3861590,Nod,3871927,3861590.mp4,y
3983368,Whats Up,3994249,3983368.mp4,y
4124862,Nod,4135798,4124862.mp4,y
4258670,Whats Up,4269142,4258670.mp4,y
4405110,Swipe Right,4416060,4405110.mp4,y
4552113,Swipe Right,4563023,4552113.mp4,y
4690415,Swipe Left,4700838,4690415.mp4,y
4842184,Swipe Left,4853148,4842184.mp4,y
4968723,Swipe Right,4979605,4968723.mp4,y
5097266,Nod,5107561,5097266.mp4,y
5243641,Swipe Left,5254010,5243641.mp4,y
5392353,Nod,5402949,5392353.mp4,y
5528955,Nod,5539925,5528955.mp4,y
5656287,Swipe Right,5666617,5656287.mp4,y
5798290,Swipe Left,5808633,5798290.mp4,y
5921946,Swipe Right,5932964,5921946.mp4,y
6056021,Nod,6066913,6056021.mp4,y
6194779,Whats Up,6205149,6194779.mp4,y
6334080,Swipe Left,6344973,6334080.mp4,y
6480394,Swipe Right,6490823,6480394.mp4,y
6605363,Swipe Right,6615888,6605363.mp4,y
6730803,Nod,6741807,6730803.mp4,y
