start,gesture,end,sound,label
47721796,Nod,47732200,47721796.mp4,y
47863048,Whats Up,47874007,47863048.mp4,not sure
47992934,Nod,48003795,47992934.mp4,y
48123774,Swipe Right,48134779,48123774.mp4,n
48270141,Whats Up,48281072,48270141.mp4,n
48404662,Whats Up,48415666,48404662.mp4,y
48537417,Whats Up,48548376,48537417.mp4,y
48674477,Swipe Right,48684815,48674477.mp4,not sure
48809765,Swipe Left,48820746,48809765.mp4,n
48959806,Swipe Left,48970772,48959806.mp4,y
49086073,Swipe Left,49096954,49086073.mp4,not sure
49216631,Whats Up,49227116,49216631.mp4,not sure
49342338,Nod,49353322,49342338.mp4,not sure
49490658,Swipe Left,49501574,49490658.mp4,y
49631966,Swipe Left,49642542,49631966.mp4,not sure
49763384,Swipe Left,49774316,49763384.mp4,not sure
49902410,Nod,49912714,49902410.mp4,n
50029785,Nod,50040679,50029785.mp4,y
50169688,Swipe Right,50179959,50169688.mp4,y
50295790,Swipe Right,50306525,50295790.mp4,y
50430137,Whats Up,50441119,50430137.mp4,y
50576863,Swipe Right,50587208,50576863.mp4,y
50726026,Nod,50736905,50726026.mp4,y
50864883,Whats Up,50875284,50864883.mp4,y
50986524,Whats Up,50997429,50986524.mp4,y
51127549,Whats Up,51137951,51127549.mp4,y
51260292,Nod,51270589,51260292.mp4,y
51395035,Swipe Right,51405950,51395035.mp4,y
51544148,Swipe Right,51554467,51544148.mp4,n
51680015,Nod,51691074,51680015.mp4,n
51800609,Swipe Right,51811536,51800609.mp4,y
51945063,Nod,51955452,51945063.mp4,y
52080634,Swipe Right,52091508,52080634.mp4,y
52231430,Swipe Left,52242311,52231430.mp4,y
52379175,Nod,52390137,52379175.mp4,not sure
52518825,Swipe Right,52529544,52518825.mp4,not sure
52652562,Swipe Left,52663298,52652562.mp4,y
52773188,Swipe Right,52783581,52773188.mp4,y
52900659,Nod,52911383,52900659.mp4,y
53031587,Swipe Left,53041949,53031587.mp4,y
53179275,Whats Up,53190212,53179275.mp4,y
53315634,Swipe Left,53326571,53315634.mp4,y
53461962,Nod,53472346,53461962.mp4,y
53593451,Whats Up,53604435,53593451.mp4,y
53730932,Whats Up,53741899,53730932.mp4,y
53867323,Swipe Left,53878316,53867323.mp4,not sure
54007320,Swipe Right,54018292,54007320.mp4,n
